Line Number,CSV Content,Error Message
96,"LVがたりない,https://www.nicovideo.jp/watch/sm28543411,【东方MMD中文内嵌】爱丽丝和爱丽丝,https://www.bilibili.com/video/BV1uW411P7XW,1,原视频非公开,,","[0;31mERROR:[0m [niconico] sm28543411: Video unavailable, set to private. Use --cookies, --cookies-from-browser, --username and --password, --netrc-cmd, or --netrc (niconico) to provide account credentials. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies"
97,"LVがたりない,https://twitter.com/lvgatarin/status/1347120259912749059?s=20,bb仔,https://www.bilibili.com/video/BV1Et4y1r7zi,4,原视频已删除,,",[0;31mERROR:[0m [twitter] 1347120259912749059: No video could be found in this tweet
116,"LVがたりない,https://www.nicovideo.jp/watch/sm26316173,【东方MMD中文字幕】人鱼姬与饿狼,https://www.bilibili.com/video/BV1Hs411T7LV,1,原视频非公开,,","[0;31mERROR:[0m [niconico] sm26316173: Video unavailable, set to private. Use --cookies, --cookies-from-browser, --username and --password, --netrc-cmd, or --netrc (niconico) to provide account credentials. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies"
166,"はさみ,https://www.youtube.com/watch?v=FZDiLSKta5Q,【东方MMD中文内嵌】Mooning Routine（满月惯例）,https://www.bilibili.com/video/BV12b4y1R7bQ,1,原视频已删除,作者销号,",[0;31mERROR:[0m [youtube] FZDiLSKta5Q: Video unavailable
166,"はさみ,https://www.youtube.com/watch?v=FZDiLSKta5Q,【东方MMD中文内嵌】Mooning Routine（满月惯例）,https://www.bilibili.com/video/BV12b4y1R7bQ,1,原视频已删除,作者销号,",[0;31mERROR:[0m [youtube] FZDiLSKta5Q: Video unavailable
260,"PhanthakanXD,原视频未找到,【东方MMD】假如博丽灵梦是便利店员工,https://www.bilibili.com/video/BV15nKjzvEzB,4,,,",[0;31mERROR:[0m [generic] '原视频未找到' is not a valid URL
276,"PhanthakanXD,https://twitter.com/PhanthakanXD/status/1578481617093689345,萃香在军团要塞2（1/2）,https://www.bilibili.com/video/BV1VP411J7MV,4,,,",[0;31mERROR:[0m [twitter] 1578481617093689345: No video could be found in this tweet
290,"PhanthakanXD,https://twitter.com/PhanthakanXD/status/1714942806597456077,【东方SFM】烹饪小动画,https://www.bilibili.com/video/BV1Zh4y1q76S,4,,,",[0;31mERROR:[0m [twitter] 1714942806597456077: No video could be found in this tweet
321,"Renard,https://twitter.com/Renard_0117/status/1465727333445349388,【东方MMD】熬夜的人应该受到小伞酱的袭击,https://www.bilibili.com/video/BV1L341147Xp,4,,,",[0;31mERROR:[0m [twitter] 1465727333445349388: No video could be found in this tweet
322,"Renard,https://twitter.com/Renard_0117/status/1456365639585591296,【东方MMD】纯狐愤怒,https://www.bilibili.com/video/BV1tQ4y1m7he,4,,,",[0;31mERROR:[0m [twitter] 1456365639585591296: No video could be found in this tweet
323,"Renard,https://twitter.com/Renard_0117/status/1398233829064658952,【东方MMD】给我能量饮料，调酒师,https://www.bilibili.com/video/BV1zK4y1R7og,4,,,",[0;31mERROR:[0m [twitter] 1398233829064658952: No video could be found in this tweet
324,"Renard,https://twitter.com/Renard_0117/status/1381908116501975047,【东方MMD】喂食,https://www.bilibili.com/video/BV1r54y1b7MQ,4,,,",[0;31mERROR:[0m [twitter] 1381908116501975047: No video could be found in this tweet
325,"Renard,https://twitter.com/Renard_0117/status/1341250024525549568,【东方MMD】逃跑,https://www.bilibili.com/video/BV1Ui4y1573y,4,,,",[0;31mERROR:[0m [twitter] 1341250024525549568: No video could be found in this tweet
326,"Renard,https://twitter.com/Renard_0117/status/1334786704599748609,【东方MMD】四季映姬与鸡妹,https://www.bilibili.com/video/BV1va411F728,4,,,",[0;31mERROR:[0m [twitter] 1334786704599748609: No video could be found in this tweet
327,"Renard,https://twitter.com/Renard_0117/status/1334491102821326848,【东方MMD】放在那里好,https://www.bilibili.com/video/BV1Ep4y1z7VT,4,,,",[0;31mERROR:[0m [twitter] 1334491102821326848: No video could be found in this tweet
328,"Renard,https://twitter.com/Renard_0117/status/1300424298339868673,【东方MMD】全蛋迫害宴！,https://www.bilibili.com/video/BV1yz4y1f7Fr,4,,,",[0;31mERROR:[0m [twitter] 1300424298339868673: No video could be found in this tweet
329,"Renard,https://twitter.com/Renard_0117/status/1303586434847182848,【东方MMD】发现食材不对劲的久侘歌,https://www.bilibili.com/video/BV1Sa4y1L7oJ,4,,,",[0;31mERROR:[0m [twitter] 1303586434847182848: No video could be found in this tweet
330,"Renard,https://twitter.com/Renard_0117/status/1360586667619307520,【东方MMD】最后一根团子,https://www.bilibili.com/video/BV1Vb4y1R798,4,,,",[0;31mERROR:[0m [twitter] 1360586667619307520: No video could be found in this tweet
331,"Renard,https://twitter.com/Renard_0117/status/1368250632524599299,【东方MMD】为Fumo铃瑚注入灵魂,https://www.bilibili.com/video/BV1of4y147fH,4,,,",[0;31mERROR:[0m [twitter] 1368250632524599299: No video could be found in this tweet
332,"Renard,https://twitter.com/Renard_0117/status/1372823606976151555,【东方MMD】AWOOOOO,https://www.bilibili.com/video/BV12N411Q7pS,4,,,",[0;31mERROR:[0m [twitter] 1372823606976151555: No video could be found in this tweet
333,"Renard,https://twitter.com/Renard_0117/status/1374224722385276928,【东方MMD】Renard作者500粉丝纪念,https://www.bilibili.com/video/BV1Ty4y1t7GX,4,,,",[0;31mERROR:[0m [twitter] 1374224722385276928: No video could be found in this tweet
334,"Renard,https://twitter.com/Renard_0117/status/1394254086975811584,【东方MMD】谜,https://www.bilibili.com/video/BV1hb4y1o7d6,4,,,",[0;31mERROR:[0m [twitter] 1394254086975811584: No video could be found in this tweet
335,"Renard,https://twitter.com/Renard_0117/status/1395365337894371329,【东方MMD】铃瑚的威斯克冲刺,https://www.bilibili.com/video/BV1dU4y157Jt,4,,,",[0;31mERROR:[0m [twitter] 1395365337894371329: No video could be found in this tweet
336,"Renard,https://twitter.com/Renard_0117/status/1414193316699148290,【东方MMD】₍₍(ノᗜˬᗜ)ノ⁾⁾,https://www.bilibili.com/video/BV15B4y1N7Fm,4,,,",[0;31mERROR:[0m [twitter] 1414193316699148290: No video could be found in this tweet
337,"Renard,https://twitter.com/Renard_0117/status/1422184454345269249,【东方MMD】担心你的铃瑚酱,https://www.bilibili.com/video/BV1Yb4y1r7sJ,1,,,",[0;31mERROR:[0m [twitter] 1422184454345269249: No video could be found in this tweet
338,"Renard,https://twitter.com/Renard_0117/status/1473294259445186565,【东方MMD】铃瑚的企鹅俱乐部之舞,https://www.bilibili.com/video/BV11L4y1n7TY,4,,,",[0;31mERROR:[0m [twitter] 1473294259445186565: No video could be found in this tweet
339,"Renard,https://twitter.com/Renard_0117/status/1510605623250935809,【东方MMD】大小姐的背后好像跟着什么,https://www.bilibili.com/video/BV1fZ4y1m76N,4,,,",[0;31mERROR:[0m [twitter] 1510605623250935809: No video could be found in this tweet
340,"Renard,https://twitter.com/Renard_0117/status/1543557144590438400,【东方MMD】前期放B有多狠，后期被揍有多惨,https://www.bilibili.com/video/BV1jv4y1T75z,4,,,",[0;31mERROR:[0m [twitter] 1543557144590438400: No video could be found in this tweet
341,"Renard,https://twitter.com/Renard_0117/status/1544300100351954944,【东方MMD】因为取消解雇而感激的阿燐,https://www.bilibili.com/video/BV1af4y1Z7Pj,1,,,",[0;31mERROR:[0m [twitter] 1544300100351954944: No video could be found in this tweet
342,"Renard,https://twitter.com/Renard_0117/status/1546150042662105088,【东方MMD】被外界科技吓到的饭纲丸龙,https://www.bilibili.com/video/BV1HY4y1J7hQ,4,,,",[0;31mERROR:[0m [twitter] 1546150042662105088: No video could be found in this tweet
343,"Renard,https://twitter.com/Renard_0117/status/1562081156451176448,【东方MMD】“我先去极乐世界了，晚安”,https://www.bilibili.com/video/BV12Y4y1F7cX,4,,,",[0;31mERROR:[0m [twitter] 1562081156451176448: No video could be found in this tweet
344,"Renard,https://twitter.com/Renard_0117/status/1571402684078657537,【东方MMD】ringo in moon sector,https://www.bilibili.com/video/BV1t14y1Y747,4,,,",[0;31mERROR:[0m [twitter] 1571402684078657537: No video could be found in this tweet
345,"Renard,https://twitter.com/Renard_0117/status/1616818724178374659,【东方MMD】铃瑚FUMO旋转26秒,https://www.bilibili.com/video/BV1jG4y1c7JG,4,,,",[0;31mERROR:[0m [twitter] 1616818724178374659: No video could be found in this tweet
346,"Renard,https://twitter.com/Renard_0117/status/1620089262959128576,【东方MMD】畜生界三巨头,https://www.bilibili.com/video/BV19T411o7eh,4,,,",[0;31mERROR:[0m [twitter] 1620089262959128576: No video could be found in this tweet
347,"Renard,https://twitter.com/Renard_0117/status/1624566295030296576,【东方MMD】Maxwell the cat,https://www.bilibili.com/video/BV13T411Q7xn,4,,,",[0;31mERROR:[0m [twitter] 1624566295030296576: No video could be found in this tweet
348,"Renard,https://twitter.com/Renard_0117/status/1629099716209426434,【东方MMD】Renard作者27岁生日纪念,https://www.bilibili.com/video/BV1vv4y1e7My,1,,,",[0;31mERROR:[0m [twitter] 1629099716209426434: No video could be found in this tweet
349,"Renard,https://twitter.com/Renard_0117/status/1632471040692572160,【东方MMD】打算送给妹妹的视频,https://www.bilibili.com/video/BV1Xs4y1V7J9,4,,,",[0;31mERROR:[0m [twitter] 1632471040692572160: No video could be found in this tweet
350,"Renard,https://twitter.com/Renard_0117/status/1649785817337069568,【东方MMD】铃瑚正在骑三轮车,https://www.bilibili.com/video/BV1Vk4y1Y7LA,4,,,",[0;31mERROR:[0m [twitter] 1649785817337069568: No video could be found in this tweet
351,"Renard,https://twitter.com/Renard_0117/status/1723401304691937776,【东方MMD】“救命呐！”,https://www.bilibili.com/video/BV1Kj411a7Ni,4,,,",[0;31mERROR:[0m [twitter] 1723401304691937776: No video could be found in this tweet
352,"Renard,https://twitter.com/Renard_0117/status/1732905327987765356,【东方MMD】小铃瑚，但是地面技术很好,https://www.bilibili.com/video/BV1ta4y1d778,4,,,",[0;31mERROR:[0m [twitter] 1732905327987765356: No video could be found in this tweet
353,"Renard,https://twitter.com/Renard_0117/status/1739065921950679431,【东方MMD】圣诞快乐🎄🎁,https://www.bilibili.com/video/BV1di4y187ze,4,,,",[0;31mERROR:[0m [twitter] 1739065921950679431: No video could be found in this tweet
354,"Renard,https://twitter.com/Renard_0117/status/1384479592015007752,【东方MMD】熊孩子,https://www.bilibili.com/video/BV1NV411J7aB,4,,,",[0;31mERROR:[0m [twitter] 1384479592015007752: No video could be found in this tweet
355,"Renard,https://twitter.com/Renard_0117/status/1417474481728098306,【东方MMD】虎与鼠的日常,https://www.bilibili.com/video/BV1164y1z7Go,4,,,",[0;31mERROR:[0m [twitter] 1417474481728098306: No video could be found in this tweet
356,"Renard,https://twitter.com/Renard_0117/status/1490327428966748161,【东方MMD】旋转破坏,https://www.bilibili.com/video/BV1t44y1W7Jv,4,,,",[0;31mERROR:[0m [twitter] 1490327428966748161: No video could be found in this tweet
357,"Renard,https://twitter.com/Renard_0117/status/1494763652825636866,【东方MMD】Jump Scare,https://www.bilibili.com/video/BV1eS4y1F7aM,4,,,",[0;31mERROR:[0m [twitter] 1494763652825636866: No video could be found in this tweet
